pygmn_name;pygmn_css;pygmn_desc;tm_scope
String.Double;s2;Double quoted strings.;string.quoted.double 
String.Escape;se;Token type for escape sequences in strings.;constant.character.escape
String.Heredoc;sh;Token type for “heredoc” strings (e.g. in Ruby or Perl).;punctuation.definition
String.Interpol;si;Token type for interpolated parts in strings (e.g. #{foo} in Ruby).;string.interpolated 
String.Other;sx;Token type for any other strings (for example %q{foo} string constructs in Ruby).;string.quoted.other 
String.Regex;sr;Token type for regular expression literals (e.g. /foo/ in JavaScript).;string.regexp 
String.Single;s1;Token type for single quoted strings.;string.quoted.single 
String.Symbol;ss;Token type for symbols (e.g. :foo in LISP or Ruby).;constant.other.symbol
Number;m;Token type for any number literal.;constant.numeric
Number.Bin;mb;Token type for binary literals (e.g. 0b101010).;constant.numeric
Number.Float;mf;Token type for float literals (e.g. 42.0).;constant.numeric.float
Number.Hex;mh;Token type for hexadecimal number literals (e.g. 0xdeadbeef).;constant.numeric
Number.Integer;mi;Token type for integer literals (e.g. 42).;constant.numeric.integer
Number.Integer.Long;il;Token type for long integer literals (e.g. 42L in Python).;constant.numeric.integer
Number.Oct;mo;Token type for octal literals.;constant.numeric
Operator;o;For any punctuation operator (e.g. +, -).;keyword.operator 
Operator.Word;ow;For any operator that is a word (e.g. not).;keyword.operator 
Punctuation;p;For any punctuation which is not an operator (e.g. [, (…);punctuation.definition
Punctuation.Marker;pm;For markers that point to a location (e.g., carets in Python tracebacks for syntax errors).;punctuation.definition
Comment;c;Token type for any comment.;comment
Comment.Hashbang;ch;Token type for hashbang comments (i.e. first lines of files that start with #!).;comment.line.number-sign
Comment.Multiline;cm;Token type for multiline comments.;comment.block
Comment.Preproc;cp;Token type for preprocessor comments (also <?php/<% constructs).;comment
Comment.PreprocFile;cpf;Token type for filenames in preprocessor comments, such as include files in C/C++.;comment
Comment.Single;c1;Token type for comments that end at the end of a line (e.g. # foo).;comment.line
Comment.Special;cs;Special data in comments. For example code tags, author and license information, etc.;comment.line
Generic;g;A generic, unstyled token. Normally you don’t use this token type.;
Generic.Deleted;gd;Marks the token value as deleted.;
Generic.Emph;ge;Marks the token value as emphasized.;markup.italic
Generic.Error;gr;Marks the token value as an error message.;invalid
Generic.Heading;gh;Marks the token value as headline.;markup.heading
Generic.Inserted;gi;Marks the token value as inserted.;
Generic.Output;go;Marks the token value as program output (e.g. for python cli lexer).;
Generic.Prompt;gp;Marks the token value as command prompt (e.g. bash lexer).;
Generic.Strong;gs;Marks the token value as bold (e.g. for rst lexer).;markup.bold
Generic.Subheading;gu;Marks the token value as bold and emphasized.;markup.heading
Generic.EmphStrong;ges;Marks the token value as subheadline.;
Generic.Traceback;gt;Marks the token value as a part of an error traceback.;invalid
